Horodateur,Date,Lieu,Mon deck ?,Gagnant ?
06/01/2024,06/01/2024,Playin Rivoli,Davros,N
06/01/2024,06/01/2024,Playin Rivoli,Etali,N
20/01/2024,20/01/2024,Playin Rivoli,Davros,N
20/01/2024,20/01/2024,Playin Rivoli,Jodah,Y
20/01/2024,20/01/2024,Playin Rivoli,Tom Bombadil,N
20/01/2024,20/01/2024,Playin Rivoli,Meren,Y
27/01/2024,27/01/2024,Mauvais Joueurs,Amalia,N
27/01/2024,27/01/2024,Mauvais Joueurs,Tenth Doctor & Rose,N
27/01/2024,27/01/2024,Mauvais Joueurs,Pako / Haldan,Y
27/01/2024,27/01/2024,Mauvais Joueurs,Eleven / Will,Y
05/02/2024,05/02/2024,Chez Joël,Etali,N
05/02/2024,05/02/2024,Chez Joël,Etali,Y
05/02/2024,05/02/2024,Chez Joël,Eowyn,N
06/02/2024,06/02/2024,Chez Joël,Eowyn,Y
06/02/2024,06/02/2024,Chez Joël,Davros,N
18/02/2024,18/02/2024,Chez Joël,Pako / Haldan,N
18/02/2024,18/02/2024,Chez Joël,Omnath,N
03/03/2024,03/03/2024,Playin Rivoli,Amalia,N
03/03/2024,03/03/2024,Playin Rivoli,Meren,N
03/03/2024,03/03/2024,Playin Rivoli,Jodah,N
10/03/2024,10/03/2024,Playin Rivoli,Amalia,Y
10/03/2024,10/03/2024,Playin Rivoli,Jodah,Y
10/03/2024,10/03/2024,Playin Rivoli,Amalia,N
19/03/2024,19/03/2024,Mauvais Joueurs,Eleven / Will,Y
19/03/2024,19/03/2024,Mauvais Joueurs,Eowyn,N
19/03/2024,19/03/2024,Mauvais Joueurs,Meren,N
19/03/2024,19/03/2024,Mauvais Joueurs,Eowyn,N
26/03/2024,26/03/2024,Mauvais Joueurs,Amalia,Y
26/03/2024,26/03/2024,Mauvais Joueurs,Tom Bombadil,Y
26/03/2024,26/03/2024,Mauvais Joueurs,Etali,Y
26/03/2024,26/03/2024,Mauvais Joueurs,Rashmi,N
09/04/2024,09/04/2024,Mauvais Joueurs,Amalia,N
09/04/2024,09/04/2024,Mauvais Joueurs,Amalia,N
09/04/2024,09/04/2024,Mauvais Joueurs,Omnath,Y
16/04/2024,16/04/2024,Mauvais Joueurs,Amalia,Y
16/04/2024,16/04/2024,Mauvais Joueurs,Marwyn,N
16/04/2024,16/04/2024,Mauvais Joueurs,Abdel Adrian,N
23/04/2024,23/04/2024,Mauvais Joueurs,Tom Bombadil,N
23/04/2024,23/04/2024,Mauvais Joueurs,Jodah,Y
29/04/2024,29/04/2024,Mauvais Joueurs,Eowyn,N
